"item_reference","x","y","z","row","column","block"
1005144591,6.3,-0.6,0.64,3,1,"1.C"
1006448070,6.325,-0.6,0.64,3,1,"1.C"
1001754606,6.35,-0.6,0.64,3,1,"1.C"
1001751528,6.4,-0.6,0.64,3,1,"1.C"
1005644451,6.425,-0.6,0.64,3,1,"1.C"
1006448421,6.45,-0.6,0.64,3,1,"1.C"
1006042845,6.525,-0.6,0.64,3,1,"1.C"
1001044046,6.575,-0.6,0.64,3,1,"1.C"
1001610164,6.625,-0.6,0.64,3,1,"1.C"
1001573788,6.65,-0.6,0.64,3,1,"1.C"
1003887760,6.675,-0.6,0.64,3,1,"1.C"
1006054103,6.75,-0.6,0.64,3,1,"1.C"
1005654045,6.8,-0.6,0.64,3,1,"1.C"
1006043141,6.825,-0.6,0.64,3,1,"1.C"
1006938364,6.85,-0.6,0.64,3,1,"1.C"
1005857914,6.9,-0.6,0.64,3,1,"1.C"
1006941937,6.925,-0.6,0.64,3,1,"1.C"
1006040081,6.95,-0.6,0.64,3,1,"1.C"
1005157290,9.025,-0.6,0.64,3,4,"1.C"
1001666587,9.05,-0.6,0.64,3,4,"1.C"
1001666596,9.075,-0.6,0.64,3,4,"1.C"
1003694827,9.1,-0.6,0.64,3,4,"1.C"
1002218745,9.125,-0.6,0.64,3,4,"1.C"
1006113954,9.15,-0.6,0.64,3,4,"1.C"
1006114070,9.175,-0.6,0.64,3,4,"1.C"
1002274743,9.2,-0.6,0.64,3,4,"1.C"
1006936348,9.225,-0.6,0.64,3,4,"1.C"
1001542106,9.25,-0.6,0.64,3,4,"1.C"
1006901698,9.275,-0.6,0.64,3,4,"1.C"
1006901706,9.3,-0.6,0.64,3,4,"1.C"
1004724804,9.325,-0.6,0.64,3,4,"1.C"
1002296145,9.35,-0.6,0.64,3,4,"1.C"
1003391850,9.375,-0.6,0.64,3,4,"1.C"
1003323530,8.3,0.1,0.64,3,4,"1.D"
1005051125,8.2775,0.1,0.64,3,4,"1.D"
1003341549,8.255,0.1,0.64,3,4,"1.D"
1007086260,8.2325,0.1,0.64,3,4,"1.D"
1002425853,8.21,0.1,0.64,3,4,"1.D"
1003363950,8.1875,0.1,0.64,3,4,"1.D"
1003273031,8.165,0.1,0.64,3,4,"1.D"
1002509715,8.1425,0.1,0.64,3,4,"1.D"
1003364193,8.12,0.1,0.64,3,4,"1.D"
1001861021,8.0975,0.1,0.64,3,4,"1.D"
1002357543,8.075,0.1,0.64,3,4,"1.D"
1003146744,8.0525,0.1,0.64,3,4,"1.D"
1006936753,8.03,0.1,0.64,3,4,"1.D"
1003265869,8.0075,0.1,0.64,3,4,"1.D"
1006043024,7.985,0.1,0.64,3,4,"1.D"
1001010557,7.94,0.1,0.64,3,4,"1.D"
1005347154,7.9175,0.1,0.64,3,4,"1.D"
1005953043,7.895,0.1,0.64,3,4,"1.D"
1001760069,7.8725,0.1,0.64,3,4,"1.D"
1003185732,7.85,0.1,0.64,3,4,"1.D"
